order_id,customer_id,product_id,order_date,quantity,discount,payment_method,order_status
O00001,C0058,P0003,2024-01-21,3,0.05,EasyPaisa,Cancelled
O00002,C0333,P0031,2025-06-11,3,0.3,Bank Transfer,CANCELLED
O00003,C0045,P0039,2025-08-07,1,0.15,Cash,Completed
O00004,C0086,P0020,2025-06-30,5,0.15,CASH,Pending
O00005,C0300,P0032,2024-02-17,1,0.3,EasyPaisa,Completed
O00006,C0171,P0002,2023-07-30,2,0.25,Easypaisa,PENDING
O00007,C0435,P0064,2024-08-18,1,0.15,EasyPaisa,Pending
O00008,C0119,P0092,2023-05-05,1,0.15,Bank Transfer,Returned
O00009,C0284,P0009,02-Jul-2024,3,0.15,easypaisa,Completed
O00010,C0254,P0080,2024-12-11,1,0.15,CASH,cancelled
O00011,C0148,P0093,2024-01-29,1,0.15,Card,cancelled
O00012,C0301,P0088,2024-11-25,4,0.3,COD,Pending
O00013,C0068,P0038,10-Mar-2025,5,0.3,cod,returned
O00014,C0408,P0061,2023-11-28,2,0.1,COD,COMPLETED
O00015,C0342,P0062,2023-09-22,1,0.05,bank transfer,Pending
O00016,C0052,P0054,2025-10-08,1,0.05,BANK TRANSFER,COMPLETED
O00017,C0010,P0046,2024-06-18,1,0.05,CARD,Completed
O00018,C0414,P0009,2024-11-22,1,0.2,Card,completed
O00019,C0288,P0029,2025-09-23,1,0.1,jazzcash,Completed
O00020,C0395,P0072,2024-07-01,3,0.3,Cod,COMPLETED
O00021,C0362,P0007,2025-06-15,2,0.3,CASH,Completed
O00022,C0401,P0079,2023-07-28,3,0.0,BANK TRANSFER,Completed
O00023,C9999,P0081,2023/08/30,3,0.1,Card,returned
O00024,C0363,P0057,2025-11-02,1,0.3,CASH,CANCELLED
O00025,C0332,P0047,2024-11-16,3,0.0,CARD,PENDING
O00026,C0497,P0054,2023-01-14,1,0.3,easypaisa,Returned
O00027,C0147,P0065,2023-12-17,1,0.1,Cod,pending
O00028,C0185,P0081,2024-05-17,1,0.3,bank transfer,pending
O00029,C0404,P0030,2023-10-10,3,0.15,EasyPaisa,pending
O00030,C0488,P0067,2025-01-10,4,0.15,Card,completed
O00031,C0368,P0067,2023-05-23,1,0.1,easypaisa,cancelled
O00032,C0223,P0008,2025-03-16,2,0.25,COD,CANCELLED
O00033,C0463,P0074,2023-04-29,5,0.25,Cod,RETURNED
