review_id,customer_id,product_id,rating,review_text,review_date
R00001,C0373,P0085,5,VERY GOOD QUALITY,2023-05-15
R00002,C0196,P0058,5,terrible experience,2025-12-04
R00003,C0142,P0003,5, Poor packaging ,2023-11-23
R00004,C0094,P0038,5, Terrible experience ,10/04/2025
R00005,C0312,P0083,4,terrible experience,2023-09-01
R00006,C0231,P0011,5,NOT WORTH THE PRICE,2024-10-29
R00007,C0143,P0086,2,PRODUCT IS OKAY,2023-12-10
R00008,C0401,P0028,5,product is okay,2023-08-05
R00009,C0292,P0053,4, product is okay ,2024-04-27
R00010,C0276,P0011,4, Terrible experience ,2024-04-01
R00011,C0335,P0079,2,VERY GOOD QUALITY,2025-01-16
R00012,C0373,P0010,2,Will buy again,2024-05-09
R00013,C0298,P0003,4,Good product,2024-07-18
R00014,C0305,P0007,5,average quality,2025-06-04
R00015,C0145,P0077,5,AVERAGE QUALITY,2023-05-03
R00016,C0350,P0070,5, Very good quality ,2024-11-03
R00017,C0390,P0029,2, Amazing product ,2024-06-06
R00018,C0254,P0072,5,AMAZING PRODUCT,2023-07-10
R00019,C0361,P0081,5,Very good quality,2023-11-25
R00020,C0432,P0069,4, Amazing product ,2023-04-22
R00021,C0257,P0055,1,product is okay,2023-04-13
R00022,C0424,P0067,5,Very good quality,2024-08-19
R00023,C0042,P0055,4, product is okay ,2025-05-23
R00024,C0200,P0013,5,very good quality,2025-09-03
R00025,C0351,P0020,5, Amazing product ,2024-07-23
R00026,C0002,P0053,3,I love this product,13/04/2023
R00027,C0016,P0044,4,WILL BUY AGAIN,2025-11-28
R00028,C0177,P0071,5,BAD PRODUCT,2024-07-27
R00029,C0006,P0033,5,amazing product,2025-09-09
R00030,C0351,P0076,4, Will buy again ,2024-10-22
R00031,,P0037,5,good product,2023-03-10
R00032,C0102,P0011,3,Fast delivery,2023-05-13
R00033,C0267,P0053,5,very good quality,2025-07-05
R00034,C0286,P0078,4,NOT WORTH THE PRICE,2023-12-31
R00035,C0352,P0040,5,Amazing product,2024-09-14
R00036,C0240,P0054,5,average quality,2023-07-25
R00037,C0302,P0045,5,POOR PACKAGING,2024-03-09
R00038,C0186,P0010,3,Amazing product,2023-03-19
R00039,C0070,P0052,2,excellent,2024-03-10
R00040,C0319,P0018,3,bad product,2025-06-26
R00041,C0249,P0090,5,TERRIBLE EXPERIENCE,2025-08-27
R00042,C0168,P0074,2, Average quality ,2023-12-05
R00043,C0089,P0031,4,Amazing product,08/01/2025
R00044,C0136,P0026,5, Will buy again ,2024-07-23
R00045,C0404,P0024,3,VERY GOOD QUALITY,2024-05-08
R00046,C0003,P0016,4, Very good quality ,2024-10-03
R00047,C0174,P0062,5, Not worth the price ,2024-07-20
R00048,C0345,P0048,5,VERY GOOD QUALITY,2024-03-07
R00049,C0391,P0047,5, Fast delivery ,2024-05-23
R00050,C0479,P0027,3,I LOVE THIS PRODUCT,2025-01-10
R00051,C0389,P0028,1,AMAZING PRODUCT,2025-10-10
R00052,C0237,P0041,3, Bad product ,2024-10-16
R00053,C0368,P0029,3,BAD PRODUCT,2024-07-24
R00054,C0358,P0019,3,VERY GOOD QUALITY,2024-02-23
R00055,C0409,P0095,4,I LOVE THIS PRODUCT,2025-06-04
R00056,C0224,P0022,4,poor packaging,2023-01-14
R00057,C0454,P0029,4,Fast delivery,2023-02-08
R00058,C0364,P0034,1, Will buy again ,2024-10-29
R00059,C0369,P0067,5,good product,2024-09-16
R00060,C0088,P0079,5,average quality,2023-03-27
R00061,C0348,P0070,4,Bad product,2025-11-29
R00062,C0188,P0095,4,fast delivery,2025-12-04
R00063,C0093,P0074,4,EXCELLENT,14/07/2025
R00064,C0220,P0097,1,BAD PRODUCT,2025-01-09
R00065,C0488,P0060,5, Will buy again ,2024-03-21
R00066,C0269,P0008,4, Fast delivery ,2024-12-22
R00067,C0424,P0087,4,BAD PRODUCT,2025-05-06
R00068,C0104,P0091,3,product is okay,2023-06-19
R00069,C0236,P0048,5,GOOD PRODUCT,2023-05-11
R00070,C0102,P0018,2,product is okay,2025-07-09
R00071,C0398,P0028,5,average quality,2023-07-15
R00072,C0448,P0037,5,I love this product,2025-09-03
R00073,C0388,P0049,5,WILL BUY AGAIN,2025-11-09
R00074,C0216,P0028,5,Will buy again,2025-09-25
R00075,C0226,P0076,2,amazing product,2025-08-25
R00076,C0016,P0089,1,FAST DELIVERY,2024-05-23
R00077,C0277,P0075,4, Poor packaging ,2023-06-04
R00078,C0361,P0020,5,PRODUCT IS OKAY,2024-04-01
R00079,C0445,P0079,5,Not worth the price,2024-11-07
R00080,C0383,P0047,4, Excellent ,2025-09-23
R00081,C0200,P0035,5,TERRIBLE EXPERIENCE,2024-08-13
R00082,C0082,P0081,4, Fast delivery ,2025-02-24
R00083,C0087,P0020,3, Good product ,2024-02-25
R00084,C0396,P0053,5,average quality,2024-07-04
R00085,C0068,P0076,5, Amazing product ,2025-03-02
R00086,C0266,P0008,2,I LOVE THIS PRODUCT,2023-06-03
R00087,C0452,P0049,4,GOOD PRODUCT,2025-06-04
R00088,C0409,P0084,4, Excellent ,2024-06-22
R00089,C0019,P0050,4, product is okay ,2025-12-19
R00090,C0369,P0020,3,Amazing product,2023-10-16
R00091,C0075,P0075,2,poor packaging,2025-02-12
R00092,C0356,P0024,1,I LOVE THIS PRODUCT,2025-11-04
R00093,C0254,P0014,4,Terrible experience,2023-04-28
R00094,C0334,P0025,3,product is okay,26/01/2023
R00095,C0307,P0043,4,PRODUCT IS OKAY,2025-04-30
R00096,C0162,P0081,5,good product,2025-02-24
R00097,C0038,P0018,5,excellent,2024-10-15
R00098,C0271,P0070,3,AMAZING PRODUCT,2023-01-04
R00099,,P0071,5,Poor packaging,2025-11-28
R00100,C0391,P0004,5,Poor packaging,2023-05-21
R00101,C0459,,2, I love this product ,2023-07-23
R00102,C0382,P0023,4,EXCELLENT,2025-03-30
R00103,C0400,P0053,1, Poor packaging ,2023-03-02
R00104,C0171,P0072,4,product is okay,2025-11-01
R00105,C0401,P0099,4, Average quality ,2024-03-04
R00106,C0250,P0018,5, Terrible experience ,2023-08-20
R00107,C0089,P0056,5, Terrible experience ,2025-10-09
R00108,C0438,P0054,5,EXCELLENT,2024-04-03
R00109,C0038,P0092,5, Amazing product ,2023-06-05
R00110,C0259,P0008,5,terrible experience,2024-09-15
R00111,C0457,P0039,3,Will buy again,2024-05-07
R00112,C0303,P0061,1, Amazing product ,2025-09-26
R00113,C0395,P0049,4, Poor packaging ,2024-06-19
R00114,C0285,P0016,3,Poor packaging,2023-03-09
R00115,C0270,P0096,2,i love this product,2024-07-25
R00116,C0307,P0012,4,will buy again,2024-04-12
R00117,C0082,P0050,2,fast delivery,2025-06-21
R00118,C0004,P0028,4, Good product ,2023-09-26
R00119,C0055,P0018,5, Very good quality ,2025-09-29
R00120,C0230,P0097,4, Good product ,2024-09-23
R00121,C0126,P0018,3, I love this product ,2024-10-06
R00122,C0283,P0012,4,VERY GOOD QUALITY,2025-12-27
R00123,C0416,P0022,4,GOOD PRODUCT,2025-04-28
R00124,C0439,P0034,3,Very good quality,2025-02-19
R00125,C0444,P0059,4,Bad product,2025-03-22
R00126,C0455,P0073,2,VERY GOOD QUALITY,2023-01-20
R00127,C0116,P0013,4,good product,2023-02-08
R00128,C0423,P0009,5, I love this product ,2024-01-06
R00129,C0033,P0029,5,Not worth the price,2023-12-14
R00130,C0279,P0084,3,Good product,2023-06-03
R00131,C0230,P0005,3,bad product,2023-03-03
R00132,C0335,P0072,5,Very good quality,2024-09-30
R00133,C0444,P0097,1,Average quality,2025-03-05
